iter	Passed	Remaining
0	152	152834
1	154	77267
2	156	51873
3	157	39150
4	158	31545
5	159	26502
6	161	22862
7	162	20192
8	164	18060
9	165	16358
10	167	15071
11	169	13944
12	170	12955
13	171	12102
14	173	11383
15	174	10733
16	175	10168
17	177	9658
18	178	9200
19	179	8793
20	181	8476
21	183	8155
22	184	7842
23	185	7556
24	186	7292
25	188	7047
26	189	6828
27	190	6619
28	191	6424
29	193	6241
30	195	6110
31	197	5968
32	198	5821
33	199	5681
34	201	5550
35	203	5448
36	204	5330
37	206	5216
38	207	5106
39	209	5030
40	211	4941
41	212	4847
42	213	4762
43	215	4677
44	216	4594
45	217	4514
46	218	4437
47	219	4363
48	221	4293
49	223	4247
50	224	4184
51	226	4120
52	227	4059
53	228	4003
54	229	3946
55	230	3890
56	231	3837
57	233	3785
58	234	3735
59	235	3696
60	237	3660
61	239	3618
62	240	3575
63	242	3546
64	244	3522
65	246	3484
66	247	3445
67	248	3406
68	249	3369
69	251	3335
70	252	3308
71	255	3292
72	256	3261
73	258	3228
74	259	3196
75	260	3165
76	261	3133
77	262	3103
78	263	3073
79	264	3045
80	267	3038
81	269	3013
82	269	2982
83	271	2958
84	272	2937
85	274	2915
86	275	2890
87	277	2872
88	278	2848
89	279	2825
90	281	2808
91	282	2789
92	284	2772
93	285	2752
94	287	2741
95	289	2722
96	290	2706
97	292	2692
98	293	2673
99	295	2656
100	298	2652
101	299	2639
102	300	2621
103	302	2602
104	303	2584
105	304	2567
106	305	2549
107	306	2532
108	308	2520
109	309	2507
110	312	2502
111	313	2487
112	315	2473
113	316	2459
114	317	2446
115	320	2441
116	321	2426
117	323	2416
118	326	2418
119	328	2406
120	330	2401
121	331	2389
122	333	2379
123	334	2366
124	336	2352
125	337	2339
126	338	2324
127	339	2314
128	341	2304
129	342	2292
130	344	2284
131	346	2275
132	347	2262
133	348	2250
134	349	2240
135	350	2229
136	352	2218
137	353	2210
138	355	2204
139	357	2194
140	358	2184
141	359	2172
142	362	2171
143	364	2165
144	365	2154
145	367	2146
146	369	2146
147	372	2146
148	374	2141
149	381	2163
150	387	2177
151	389	2174
152	394	2185
153	397	2180
154	398	2172
155	401	2170
156	402	2161
157	403	2152
158	405	2145
159	407	2137
160	408	2129
