iter	Passed	Remaining
0	1	148
1	2	133
2	3	124
3	5	126
4	6	123
5	7	119
6	8	116
7	11	132
8	12	129
9	14	126
10	17	145
11	19	145
12	21	140
13	22	136
14	23	132
15	25	136
16	27	135
17	29	132
18	30	128
19	31	125
20	32	122
21	33	119
22	35	117
23	36	114
24	37	111
25	38	109
26	40	110
27	42	108
28	43	106
29	44	104
30	46	102
31	47	101
32	48	99
33	50	97
34	51	95
35	52	93
36	56	95
37	57	93
38	58	92
39	59	89
40	61	87
41	61	85
42	62	83
43	63	81
44	64	79
45	66	77
46	67	76
47	69	75
48	70	73
49	72	72
50	73	70
51	74	68
52	75	67
53	76	65
54	77	63
55	78	61
56	79	60
57	80	58
58	81	56
59	83	55
60	85	54
61	86	53
62	87	51
63	88	50
64	90	48
65	91	47
66	92	45
67	93	44
68	94	42
69	95	41
70	97	39
71	99	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	107	28
79	109	27
80	110	25
81	111	24
82	112	23
83	115	21
84	116	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	132	4
97	133	2
98	134	1
99	135	0
